obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,temperature_drop,nominal,sac,safety_first,False,42,0.7901017657383473,0.0,1822.8789669440546,2.396728981215028e-13,0.0,0.0,0.9447494843172703,0.0,7.234779428469547,0.18660188214210494,0.0,0.0,0.9447494843172705,-0.9447494843172705
full,temperature_drop,high_load,sac,safety_first,False,42,0.37880263205372877,0.0,1965.9236621791329,2.396728981215028e-13,0.3175898593505817,0.0,0.8545818060146011,0.0,7.2540241903333795,0.20570853825157273,0.3175898593505817,0.3175898593505817,0.8545818060146012,-0.8545818060146012
full,temperature_drop,low_load,sac,safety_first,False,42,0.634669093157913,0.0,1459.7938959314313,2.396728981215028e-13,0.0,0.0,0.8579012104109293,0.0,7.198233752969318,0.1595074171323926,0.0,0.0,0.8579012104109293,-0.8579012104109293
full,temperature_drop,shock_load,sac,safety_first,False,42,0.7909390851641172,0.0,1825.4836552538704,2.396728981215028e-13,0.0,0.0,0.9458508695237955,0.0,7.235030228883955,0.18648116595515288,0.0,0.0,0.9458508695237954,-0.9458508695237954
full,temperature_drop,temperature_drop,sac,safety_first,False,42,0.7908595877471655,1.1702778228589004e-16,1824.1981000847438,2.396728981215028e-13,0.0,0.0,0.9454320554112255,0.0,7.2350131079955515,0.18661500820115956,0.0,0.0,0.9454320554112254,-0.9454320554112254
full,temperature_drop,cold_winter,sac,safety_first,False,42,0.15892560803836076,0.0,766.7620263410399,0.0,0.05903790087463558,7.314236392868128e-18,-0.386718183240535,1.0,7.164839214372111,0.8049426049851162,0.05903790087463557,0.05903790087463557,-0.386718183240535,0.386718183240535
full,temperature_drop,nominal,sac,safety_first,False,123,0.7930352452777385,1.1702778228589004e-16,1883.8201337351795,0.0,0.012675811772877235,0.0,0.9404820604809879,0.0,7.235496850896832,0.2077127986151825,0.012675811772877235,0.012675811772877235,0.9404820604809878,-0.9404820604809878
full,temperature_drop,high_load,sac,safety_first,False,123,0.6740679669017325,1.1702778228589004e-16,2088.021708894085,0.0,0.20732766105226602,0.0,0.9196316611772074,0.0,7.245956396423855,0.2181764648246483,0.20732766105226602,0.20732766105226602,0.9196316611772073,-0.9196316611772073
full,temperature_drop,low_load,sac,safety_first,False,123,0.4445944040613307,0.0,992.3945449149811,0.0,0.0,0.0,0.7112627328920471,0.0,7.205151301906153,0.18359342483268698,0.0,0.0,0.7112627328920471,-0.7112627328920471
full,temperature_drop,shock_load,sac,safety_first,False,123,0.7939564772258053,0.0,1885.857156303427,0.0,0.012675811772877235,0.0,0.9412794431734639,0.0,7.235726817667105,0.20768213453638507,0.012675811772877235,0.012675811772877235,0.9412794431734639,-0.9412794431734639
full,temperature_drop,temperature_drop,sac,safety_first,False,123,0.7925567878814149,1.1702778228589004e-16,1883.8584988468615,0.0,0.013370376801528045,1.828559098217032e-18,0.9402689493456202,0.0,7.235863571926698,0.207496023593741,0.013370376801528043,0.013370376801528043,0.9402689493456203,-0.9402689493456203
