obs_mode,train_scenario,test_scenario,algo,reward_config,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95,curriculum
full,temperature_drop,temperature_drop,sac,safety_first,42,0.6326051371,0.0,1723.1304872658,0.0,0.1014241056,0.0,0.8579738134,0.0,7.2276941128,0.2176031274,0.1014241056,0.1014241056,0.8579738134,-0.8579738134,False
full,temperature_drop,cold_winter,sac,safety_first,42,-1.8114046191,0.0,1391.9050553386,0.0,0.8747165533,1.110223025e-16,-9.5441094122,1.0,7.1167466497,0.8003027751,0.8747165533,0.8747165533,-9.5441094122,9.5441094122,False
full,temperature_drop,recovery_test,sac,safety_first,42,0.572153093,0.0,1624.4849218409,0.0,0.1042209484,0.0,0.8290218726,0.0,7.2415897129,0.2079815008,0.1042209484,0.1042209484,0.8290218726,-0.8290218726,False
full,temperature_drop,nominal,sac,safety_first,123,0.649460328,0.0,1486.1274329331,0.0,0.0,0.0,0.8548462268,0.0,7.2117083427,0.183736832,0.0,0.0,0.8548462268,-0.8548462268,False
full,temperature_drop,high_load,sac,safety_first,123,-0.6539137628,0.0,1890.7031269815,0.0,1.0687738798,0.0,0.5336627896,0.0,7.268813113,0.2419088768,1.0687738798,1.0687738798,0.5336627896,-0.5336627896,False
full,temperature_drop,shock_load,sac,safety_first,123,0.6515874903,0.0,1490.6514144591,0.0,0.0,0.0,0.8557209527,0.0,7.2124796333,0.1832062838,0.0,0.0,0.8557209527,-0.8557209527,False
full,temperature_drop,low_load,sac,safety_first,123,0.4356342692,5.551115123e-17,1066.1613957141,0.0,0.0,0.0,0.7745088416,0.0,7.1280632406,0.1571270834,0.0,0.0,0.7745088416,-0.7745088416,False
full,temperature_drop,temperature_drop,sac,safety_first,123,0.649417184,1.110223025e-16,1486.0387643696,0.0,0.0,0.0,0.8548277837,0.0,7.2116477958,0.1838263049,0.0,0.0,0.8548277837,-0.8548277837,False
full,temperature_drop,cold_winter,sac,safety_first,123,-1.2197931261,0.0,1238.629052374,0.0,0.5847058824,0.0,-9.4522406638,1.0,7.1141870533,0.8009032406,0.5847058824,0.5847058824,-9.4522406638,9.4522406638,False
full,temperature_drop,recovery_test,sac,safety_first,123,0.6105506341,0.0,1412.5714657705,0.0,0.0,0.0,0.8329507184,0.0,7.2309946536,0.1664958621,0.0,0.0,0.8329507184,-0.8329507184,False
full,temperature_drop,nominal,sac,safety_first,456,0.6960344261,0.0,1579.9454294582,0.0,0.0,0.0,0.8697657483,0.0,7.2251885126,0.1961940324,0.0,0.0,0.8697657483,-0.8697657483,False
full,temperature_drop,high_load,sac,safety_first,456,-1.218154149,0.0,2016.6599680632,0.0,1.4400833623,0.0,0.5578718251,0.0,7.2795393598,0.2803619735,1.4400833623,1.4400833623,0.5578718251,-0.5578718251,False
full,temperature_drop,shock_load,sac,safety_first,456,0.6983487051,0.0,1584.9180391435,0.0,0.0,0.0,0.8707680514,0.0,7.2259400958,0.1956543743,0.0,0.0,0.8707680514,-0.8707680514,False
full,temperature_drop,low_load,sac,safety_first,456,0.4624189447,5.551115123e-17,1108.9060344309,0.0,0.0,0.0,0.7742814748,0.0,7.1445679122,0.1637749206,0.0,0.0,0.7742814748,-0.7742814748,False
full,temperature_drop,temperature_drop,sac,safety_first,456,0.6959988991,0.0,1579.8704496589,0.0,0.0,0.0,0.8697489352,0.0,7.2251398841,0.1962629352,0.0,0.0,0.8697489352,-0.8697489352,False
full,temperature_drop,cold_winter,sac,safety_first,456,-1.0946944824,0.0,1272.0735605584,0.0,0.7209429825,0.0,-9.5080479977,1.0,7.1209735949,0.8035106691,0.7209429825,0.7209429825,-9.5080479977,9.5080479977,False
full,temperature_drop,recovery_test,sac,safety_first,456,0.6508589612,0.0,1490.8946506158,0.0,0.0,0.0,0.8437408985,0.0,7.2405363404,0.1832225928,0.0,0.0,0.8437408985,-0.8437408985,False
full,cold_winter,nominal,sac,safety_first,42,0.2114379152,0.0,1366.4816025933,0.0,0.271622091,0.0,0.6926526911,0.0,7.2527514876,0.1858611914,0.271622091,0.271622091,0.6926526911,-0.6926526911,False
full,cold_winter,high_load,sac,safety_first,42,-0.7266651439,1.110223025e-16,1747.3401097592,0.0,1.0194511983,0.0,0.4963274528,0.0,7.2942228621,0.215444402,1.0194511983,1.0194511983,0.4963274528,-0.4963274528,False
full,cold_winter,shock_load,sac,safety_first,42,0.2038659632,0.0,1375.8268028659,0.0,0.2792636332,5.551115123e-17,0.6919516751,0.0,7.2530541366,0.1858611914,0.2792636332,0.2792636332,0.6919516751,-0.6919516751,False
full,cold_winter,low_load,sac,safety_first,42,0.3262168762,5.551115123e-17,727.2469736203,0.0,0.0,0.0,0.6831134648,0.0,7.1986448475,0.1331705446,0.0,0.0,0.6831134648,-0.6831134648,False
full,cold_winter,temperature_drop,sac,safety_first,42,0.212979037,0.0,1366.421836149,0.0,0.2705800625,0.0,0.6930508633,0.0,7.2527274613,0.1858611914,0.2705800625,0.2705800625,0.6930508633,-0.6930508633,False
full,cold_winter,cold_winter,sac,safety_first,42,0.4230980567,0.0,924.9715800386,0.0,0.0,0.0,0.6853928538,0.0,7.1458874179,0.1857761264,0.0,0.0,0.6853928538,-0.6853928538,False
full,cold_winter,recovery_test,sac,safety_first,42,-0.0327670142,6.938893904e-18,1283.604938786,0.0,0.4075039083,5.551115123e-17,0.6064846895,0.0,7.2622406893,0.1858611914,0.4075039083,0.4075039083,0.6064846895,-0.6064846895,False
full,cold_winter,nominal,sac,safety_first,123,0.4867449891,5.551115123e-17,1177.551274728,0.0,0.0336922543,0.0,0.7783765246,0.0,7.2447152278,0.1335201356,0.0336922543,0.0336922543,0.7783765246,-0.7783765246,False
